,ds,y,cap
577,2021-09-24,11.0,300
578,2021-09-25,15.0,300
579,2021-09-26,13.0,300
580,2021-09-27,15.0,300
581,2021-09-28,28.0,300
582,2021-09-29,23.0,300
583,2021-09-30,11.0,300
584,2021-10-01,15.0,300
585,2021-10-02,15.0,300
586,2021-10-03,7.0,300
587,2021-10-04,11.0,300
588,2021-10-05,22.0,300
589,2021-10-06,14.0,300
590,2021-10-07,14.0,300
591,2021-10-08,13.0,300
592,2021-10-09,10.0,300
593,2021-10-10,3.0,300
594,2021-10-11,12.0,300
595,2021-10-12,6.0,300
596,2021-10-13,13.0,300
597,2021-10-14,26.0,300
598,2021-10-15,18.0,300
599,2021-10-16,14.0,300
600,2021-10-17,3.0,300
601,2021-10-18,8.0,300
602,2021-10-19,15.0,300
603,2021-10-20,16.0,300
604,2021-10-21,18.0,300
605,2021-10-22,6.0,300
606,2021-10-23,15.0,300
607,2021-10-24,2.0,300
608,2021-10-25,10.0,300
609,2021-10-26,16.0,300
610,2021-10-27,12.0,300
611,2021-10-28,16.0,300
612,2021-10-29,14.0,300
613,2021-10-30,16.0,300
614,2021-10-31,7.0,300
615,2021-11-01,10.0,300
616,2021-11-02,7.0,300
617,2021-11-03,17.0,300
618,2021-11-04,21.0,300
619,2021-11-05,10.0,300
620,2021-11-06,6.0,300
621,2021-11-07,1.0,300
622,2021-11-08,1.0,300
623,2021-11-09,0.0,300
624,2021-11-10,27.0,300
625,2021-11-11,14.0,300
627,2021-11-13,19.0,300
628,2021-11-14,4.0,300
629,2021-11-15,3.0,300
630,2021-11-16,9.0,300
631,2021-11-17,21.0,300
632,2021-11-18,16.0,300
633,2021-11-19,12.0,300
634,2021-11-20,14.0,300
635,2021-11-21,3.0,300
636,2021-11-22,12.0,300
637,2021-11-23,17.0,300
638,2021-11-24,5.0,300
639,2021-11-25,15.0,300
640,2021-11-26,9.0,300
641,2021-11-27,7.0,300
642,2021-11-28,3.0,300
643,2021-11-29,7.0,300
644,2021-11-30,9.0,300
645,2021-12-01,8.0,300
646,2021-12-02,10.0,300
647,2021-12-03,18.0,300
648,2021-12-04,5.0,300
649,2021-12-05,2.0,300
650,2021-12-06,4.0,300
651,2021-12-07,13.0,300
652,2021-12-08,12.0,300
653,2021-12-09,9.0,300
654,2021-12-10,3.0,300
655,2021-12-11,7.0,300
656,2021-12-12,3.0,300
657,2021-12-13,2.0,300
658,2021-12-14,7.0,300
659,2021-12-15,6.0,300
660,2021-12-16,9.0,300
661,2021-12-17,10.0,300
662,2021-12-18,4.0,300
663,2021-12-19,5.0,300
664,2021-12-20,2.0,300
